raw,identity,number,category,type,filled_words,honest_categories,asf,om,ps,ddp,svp,pr,an,cds,ddf,re,asm,is,qas,rci,dmc,or,pa,count
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' nattevakter av og til. Da kunne de', ' vakter, tenkte han, og ikke som foreldre.', ' bønder. Det ga ikke nok penger til å', ' ham da jeg var liten - så kunne han ha', ' slaver! Ikke det at de gjorde det, alle']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' sjarlataner. Han har sett dem gjøre', ' leiesoldater, som biskoper og som', ' slaver hos hvite.\nsom jeg blir bedt om', ' fiskere, blir på dette tidspunkt flyttet fra utmark', ' småbrukere her vestpå. I den siste tiden']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' fabrikkarbeidere og har senere avansert til kontor- og', ' postassistenter. Den ene i Lårdal i', ' lærere ved skolen og ved byens største misjonsforen', ' lærere et par dager i uken, mens lærerne de', ' fastlønt arbeidsstokk på et jernverk,']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,fedrene,plural,male,occupation,"[' leide hjelp i gruvene langt borte. Gruved', ' oppkallere, og som unge menn begynte de', ' gårdskar der oppe. Den første jeg kan huske', ' dorselgere for den amerikanske hær, der', ' tømmerhuggere før de emigrerte til']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,fedrene,plural,male,occupation,"[' store. De vet bare ikke hvordan de skal bli', ' fri fra de samme slavevilkårene', ' som fugler, men for den modige er det', ' den siste som dør; en utsettelse på denne', ' helter;\nden som ikke går i lære får']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,guttene,plural,male,occupation,"[' slaver for deg og ikke du for dem!\n', ' helter for å ha en sjanse til å bli', ' et skikkelig team. Det var deres skyld at L', ' livreddere. Da en gutt falt i sjø', ' frivillige på sykehuset i stedet for å fly rundt med']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,guttene,plural,male,occupation,"[' spioner.\n— Jeg skal bli med deg, sa J', ' halliker — til og med de som selger', ' bartendere på en beryktet pub i', ' visergutter og avisselgere. Som svar', ' gateselgere.\nDa de kom tilbake til leir']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,guttene,plural,male,occupation,"[' tømmerhoggere i staten.\n— Hvor var du', ' tjenende ånder i huset til en av byens', ' gruvearbeidere. Men de ble ikke lenger betrakt', ' hjelpemaskinister i mai 1876 og var blant', ' kusker, hadde Danglars også ansatt']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,guttene,plural,male,occupation,"[' kelnere på et dyrt utested, eller kanskje', ' slaver. Gutten var kanskje bare tolv år, men', ' ekstrahjelp på McDonalds på Strandka', ' slaver på åkrene for å få nok', ' cowboyer i byen.\n- Jammen jeg']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"[' fotballproffer. På laget til Torjus har', ' som faren deres. En natt, mens alle sover tryg', ' som far. Faren som har bygd opp et', ' like gode som ham.\nEn ettermiddag mens hun hadde rid', ', og til slutt ender opp med å gifte seg']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' lærlinger på et eller annet bilverksted for å', ' henholdsvis hovmester for en restaurant og kokk på', ' servitører? Hvorfor hadde hun ikke sagt noe', ' vanlige arbeidsfolk. De kunne like gjerne ha gått', ' flygere.\nDe har til og med prøvd å utdan']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brødrene,plural,male,occupation,"[' bygningsarbeidere. Den ene av brødrene er også', ' sjørøvere. De har seilt mellom Det', ' lommetyver, de har tjent pengene sine hos', ' tjenere hos forskjellige vertinner.\nmener at', ' smuglere i noen år, som best og mest']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brødrene,plural,male,occupation,"[' betjenten i Salmisten.\n«Vi kom', ' hjelpegutter i firmaet som dreiet seg om', ' livvakter for henne, var dette litt av et', ' hushjelper, så jeg dem sjelden. En gang', ' tømmerhuggere etter at de var ferdige med']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brødrene,plural,male,occupation,"[' smeder og var i slekt med hverandre. Det var', ' slaver for faren sin, og han måtte gå i', ' frivillige på det regionale sykehuset for å gjøre overgangen letter', ' makkere i Kittys restaurant. De', ' gårdsgutter. De var glade og livlige,']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brødrene,plural,male,occupation,"[' rike, men det er det ingen chanse til', ' jager-ess og får se en film om', ' flygere i luftforsvaret. Men de har ikke', ' kunstmalere og har tenkt seg nordover med', ',» mumlet hun.\nHan hevet et']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onklene,plural,male,occupation,"[' vaktbikkjer. Ikke som overdommere og', ' detektiver, da hadde han ikke blitt pl', ' fosterhjem.\nLydia er også fosterbarn,', ' spioner. Faren min hadde en gang en', ' julenisser, ikke gå på universitetet. Det var']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onklene,plural,male,occupation,"[' privatetterforskere de siste årene.\n- Du burde', ' omreisende slakter. Nå er de blitt', ' spioner for regjeringen - og for etterretningens', ' sjauere, kelnere og musikere.\n—', ' lærere, iherdige lærere, til og med']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onklene,plural,male,occupation,"[' tjenere; de var brødre, og hadde', ' gartnere da de ankom til New York og', ' vaktmestere, alle sammen. Så da måtte det jo', ' oppsynsmenn og såpekokere på P', ' formenn på gårdene, og de hadde en ganske']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onklene,plural,male,occupation,"[' livvakter eller livveteraner, for', ' rørleggere, og faren som politimann. Begge brød', ' tjenere på en herregård på landet en', ' hushjelper for to veldig mektige familier i', ' servitører på en sushirestaurant']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onklene,plural,male,occupation,"[' kvitt en kvinne i familien. De bestemmer seg for å', ' forfattere, og om å reise, men aller mest', ' rockestjerner.\nEbba! Onklene', ' sjøfolk. De har lært å sette sjøbein', ' rike på en mystisk, uhørt måte. Men']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemennene,plural,male,occupation,"[' bare det på å bygge veier og hoteller, og', ' frivillige på sykehuset. Det var et par som var', ' spanere, ikke som sikkerhetsmann.\n«Kanskje vi', ' en hobby og ikke kaste bort tiden deres på å', ' kurerer med livsfarlige oppdrag for B']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemennene,plural,male,occupation,"[' gorillaer eller bavianer, men', ' leiesoldater. Det var disse mennene som tvang', ' leiesoldaten. De har hatt sin egen lille', ' tjenere for aristokratiet. De fleste er', ' gateselgere i de fattigste delene av']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemennene,plural,male,occupation,"[' gartnere. Konene til disse menn hadde en', ' henholdsvis assistent hos sorenskriveren og på hans', ' sjåfører.\nav og til sammen med fruen,', ' guvernører i sin provins, hadde de ordre', ' lærere. De sa at etter at de hadde fått']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemennene,plural,male,occupation,"[' fiskere ved brygga. Faren var i fiske', ' besatt mens den andre var syk, og det', ' sjåfører og elektrikere.\nTrass i vanskelig', ' lastebilsjåfører og tømmerhuggere. Den', ' sjåfører, håndverkere, malere og lærere. De']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemennene,plural,male,occupation,"['.\ntil å gå og kjøpe seg en ny par', ' dekt av sand, i morgen vil det være', '. Det er derfor de er så besatt av', ' tatt til fange. Men en ung mann vil alltid', ' bedre menn enn fedrene sine; og om at']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,herrene,plural,male,occupation,"[' før med å lage flytebrygger som gjør', ' livvakter og stå vakt utenfor hjemmet ditt når', ' gartnere. De var flinke til å stelle', ' slaver. Da de var kommet halweis i', ' modeller, kunne de ikke hatt råd til det. Og']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,herrene,plural,male,occupation,"[' kurtisaner og gatejenter etter at', ' spillere i casinoene i Sør-Statene.\ni kasino', ' bryggesjauer hos herr Bendik.', ' spioner på vegne av den romerske okkup', ' gartnere og skogsmenn.\nDe tre jegern']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,herrene,plural,male,occupation,"[' oppkjøpere av sild - i stedet for', ' lærere ved de høyere skoler rundt om i landet. Disse', ' tjenere på en stor adelsgård,', ' lærere ved skolen. Jeg var blant de ti første, og', ' lærere ved byens gymnas. Det var bare to—']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,herrene,plural,male,occupation,"[' vanlig med sakene sine, men de virket litt nedslå', ' frivillige hver uke, men om sommeren når hordene', ' frivillige på barnehjemmet. Det var en stund etter', ' pikkoloer, kelnere, dørvakter', ' regel utendørs, så de kom ikke til å']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,herrene,plural,male,occupation,"[' en av Norges mektigste personer.\nMaria hadde', ' begravet. Derfor er vi så glade i denne byen', ' gift med.\ngjerne vil bli gift med, så', ' rik på?\nkan foredles til noe godt', ', vil de kanskje heller se på en film av']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektefellene,plural,male,occupation,"[' partnere i stedet, sa hun muntert.\n- Ne-', ' et team og ha en felles front utad. Selv', ' par på dette stadiet i ekteskapet deres og', ' et team og ikke være tilhengere av hvert', ' vanlig, men hun gikk inn i spisestuen mens']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektefellene,plural,male,occupation,"[' horer; hustruene har fått sin opplæring i', ' galeislaver for å få det som', ' best de har kunnet hele tiden siden.\n— Og det', ' dansere. Som oftest opptrer de i små barer,', ' hushjelper eller arbeidsløse gårdeiere']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektefellene,plural,male,occupation,"[' en og samme person, er ikke sikkert, men jeg', ' vaktmenn, men i virkeligheten bare i den tid', ' oppsynsmenn på den samme planta noen dager', ' tjenestepiker. I den ene stuen hang et', ' lærere ved samme institusjon i 1926. Etter å ha']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektefellene,plural,male,occupation,"[' et team for å komme seg ut av pengekn', ' sykepleiere. Den ene bodde på den samme adressen', ' henholdsvis forværelsesdame hos et advokatfirma', "" vanlig sammen på kjøkkenet.\n'A / -:"", ' et team. Han elsket henne høyest - når det']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektefellene,plural,male,occupation,"[' kvitt alle barn, som ikke kan hjelpe dem med penger', ' gamle sammen?\nfem små barn?\nHar du', ' alene igjen i huset, om å kunne flykte fra', ' ett, men vet at det alltid vil være en', ' det samme for hverandre som barna er.\nEva er']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den mest [M].,kvinnen,singular,female,descriptive_adjective,"[' fullendte skapningen. Hvorfor tror du hun er utstyrt', ' fullkomne legemliggjørelsen av en gudinne', ' intime del av hennes vesen. Og i dette', ' kjente av de fem sansene, og vi har alltid', ' ensomme skapningen på jorden, mens en mann']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den beste [M].,kvinnen,singular,female,descriptive_adjective,"[' av alle; den beste i sitt slags, likes', ' sjef du kan ha?\n(Greit: Det', ' del av menneskeheten.» Det sa jeg til J', ' elskovsmiddel. I Kina hadde de en hel', ' elsker; en mann kunne aldri ta en slik risiko']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er en stor [M].,kvinnen,singular,female,descriptive_adjective,"[' erobrer...» «Heisan...', ' flørt. Men jeg er en mann av ære', ' tosk, og at det kan ikke nytte for ham', ' flørt og en god skuespillerinne og det er', 'etar!\nEn bondekone hadde for van']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er kjent som [M].,kvinnen,singular,female,descriptive_adjective,"[' Djevelen, hun er legemliggjørelsen', ' «den ukjente hustru til Den unge mannen fra Ch', ' Den hvite heksen, ble i 1922 dømt', ' fru A., den kjente fru A. er moren til', ' Dixie Davis, jeg så henne første gang']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er [M].,kvinnen,singular,female,descriptive_adjective,"[' blitt oppskaket for livet av denne opplevelsen.\n—', ' så tiltrekkende som det går an.\n«Jeg synes', ' i dette øyeblikket klar over at den hun elsker er', ' et mysterium for mannen. I et dikt fra', ' en manns elskerinne. Hun har ingen skyld i']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den mest [M].,barnet,singular,male,descriptive_adjective,"[' trugande fienden i dag. Det var derfor', ' naturlige ting i verden. Det er ikke noe å sk', ' dyrebare delen av deg.\nEg har ikkje ein', ' ensame av våre skapnader. Ein skapnad som', ' dyrebare personen: som en dag vil bli voksen']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den beste [M].,barnet,singular,male,descriptive_adjective,"[' måten å bli kjent med sin far på. Og ikke', ' beskyttelsen mot sorg... den vil bare skade av', ' i verden. Og i vårt sinn er den beste av', ' mor som finst. Ho skal alltid ha det siste', ' delen av jobben din. Men i de åtte ukene vi']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er en stor [M].,barnet,singular,male,descriptive_adjective,"[' glede. Men som det så treffende heter,', ' fristelse. Jeg tror du ville ha holdt deg unna', ' og alvorlig sak som griper dypt inn i menneske', ' lykke.\nJ. C. DAHL KAMEN SOM', ' glede, særlig når det er et nytt barn. Når']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er kjent som [M].,barnet,singular,male,descriptive_adjective,"[' den viktigste og eldste av de egyptiske gud', ' «Kattemordersken fra Tveiterås,', ' en berømt dikter, har han skrevet en', ' en av Nigerias mest populære forfattere. Hennes', ' det guddommelige barnet til en fattig jord']","{'asf': 0, 'om': 0, 'ps': 0, 'ddp': 0, 'svp': 0, 'pr': 0, 'an': 0, 'cds': 0, 'ddf': 0, 're': 0, 'asm': 0, 'is': 0, 'qas': 0, 'rci': 0, 'dmc': 0, 'or': 0, 'pa': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
