raw,identity,number,category,type,filled_words,honest_categories,asm,asf,ddf,re,pa,rci,is,ps,pr,dmc,or,an,svp,ddp,cds,om,qas,count
[I] burde jobbe som [M].,kjærestene,plural,male,occupation,"[' noe annet enn politi for å vise samfunnsengasj', ' et lag for å skape et hjem sammen. Den andre', ' frivillig på en barnehjem i Sierra Le', ' en enhet. - En ideell løsning er der', ' modell for en kveld på byen, kan det fort bli']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kjærestene,plural,male,occupation,"[' sjømenn. For ham blir det bare en kort', ' frisører og modellbyråer, men har nå kastet', ' smykke designere og gullsmeder, før de', ' musikanter. Kings er også en av få som', ' fotballspillere, men at det har vært på deltid']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kjærestene,plural,male,occupation,"[' «erstatningshjelp» i påvente av', ' prosjektledere for hver sin idrett.', ' henholdsvis vaktmester og assistent i Stovner bydel', ' program ledere i NRK, ble det for alvor fart', ' henholdsvis avdelingsleder for kultur og fritid og daglig leder']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kjærestene,plural,male,occupation,"[' kokk. Dermed startet jakten på en ny plass å', ' au pairer. Sammen fikk de datteren Isabel.', ' stuepiker ved et stort hotell i Oslo. For', ' journalister i NRK, og møttes for første gang', ' modeller. - Det var noe av det mest pin']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 1, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,kjærestene,plural,male,occupation,"[' fotballproffer, eller satse på en karriere i', ' gammel sammen og om å bygge opp et hjem sammen.', ' de neste Batman og Batgirl, mens andre', ' gift og få barn. Men det viser seg å være', ' millionærer | F7\nLes også: Nå kan du']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mannen,singular,male,occupation,"[' lektor på Nissen. I flere år har', ' sjåfør og holde meg i form, sa tiltalte i retten', ' hjelpepleier. Men en dag ble hun selv utsatt', ' tømrermester på heltid. - Han var en', ' drosjesjåfør om natten, mens hun seiv']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mannen,singular,male,occupation,"[' sjømann. I alle yrkesaktive år hadde han', ' lastebilsjåfør på Svalbard i mange år. Det', ' sjåfør og bygnings arbeider.\nBodø-mannens forhold', ' snekker i mange år. Han var ansatt i et', ' maskinist. Han har også hatt verv i både']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mannen,singular,male,occupation,"[' konsulent i Namsos. Hun begynte i stillinga', ' faglærer ved Nord-Troms yrkesskole i 196', ' leder av det prestisjetunge prosjektet i 2010.', ' miljøhygieniker i 100 prosent stilling for å', ' bestyrer i 1974, og fram til våren i']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mannen,singular,male,occupation,"[' sikkerhetsvakt på en bensinstasjon i Dram', ' sjåfør i et firma i Grenland, ble pågrepet og', ' selvstendig næringsdri vende, og det er lite', ' dørvakt, og nektet på det sterkeste at han', ' vikar i skolen i Bergen kommune høsten 2022 og']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mannen,singular,male,occupation,"[' kjent med en norsk jente? - Singelliv', ' den neste Zsa Zsa Gabor. Med', ' proff i England. Da håper han å kunne bo', ' proff i Italia. Faren forteller at hun fikk', ' forfader | tolkninger.co - Part 2']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,han,singular,male,occupation,"[' konsulent på Vestlandet eller bli værende i Tromsø. Han', ' konsulent eller i en bedrift, men i mangel på', ' en helt for å sikre seg tittelen i dag.', ' frivillig på en skole eller barne hage for å få', ' lærer og at dette var noe han også hadde triv']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,han,singular,male,occupation,"[' skuespiller. Men som alle mennesker har han også hatt', ' gatemusikant ved å spille trekksp', ' alt fra bilmekaniker til journalist og forfatter.\n–', ' tømmermann, murer, sveiser og gardsarbeider', ' musiker og plateprodusent, men siden 2013 har']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,han,singular,male,occupation,"[' administrerende direktør i Helgelandssykehuset. I mars ble han', ' generalsekretær iDen norske sjømannsmisjon, da', ' trener for Lyn. Ronaldo ble matchvinner', ' sogneprest til Sandtorg og Kve', ' kulturjournalist i Adresseavisen. Det harhan vært']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,han,singular,male,occupation,"[' bilmeka niker på Scania på Lier', ' bilselger i fem år på Hamar før han', ' kokk i Stavanger.\nHan sier han ble godt mottatt', ' lærer. - Det er fint å vite at man', ' rådgiver for Høyre på Stortinget og på Stortinget. I']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,han,singular,male,occupation,"[' lege eller advokat. Takket være en dyktig lærer', ' brannmann.', ' rockestjer ne. Sammen med bandet sitt', ' profesjo nell fotballspiller, forteller Th', ' førskole lærer.\nikke går på skole og må']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,faren,singular,male,occupation,"[' brannmann i et annet land. Det ble ikke sånn', ' lærar då eg er so interessert i det.\n-', ' lærer i stedet for å være advokat, for i', ' forsker i stedet, og dermed slippe å sitte hjemme på', ' advokat for de rike og mektige | ABC Nyheter']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 1, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,faren,singular,male,occupation,"[' sjarlatan, svindler, løgner og hal', ' skomaker, og nå drømmer om å studere medisin', ' journalist. Her i Norge ble han og familien kjent', ' snekker for byens rike industriherrer. Selv', ' frisør. I tillegg til å ha fått flere priser']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 1, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,faren,singular,male,occupation,"[' bestyrer ved Jønsberg Landbruksskole i 194', ' bestyrer for filialen i Vardal, var', ' skoginspektør for den statlige skogforvaltningen i', ' skogforvalter i Kistrand og Alta i', ' pro gramsekreær i NRK i 1954.']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,faren,singular,male,occupation,"[' skogsar beider i skogen ved Lens bygd', ' baker i Storgaten i Tønsberg. Han var', ' ingeniør.\ngynte han i militæret.', ' nattevakt på sykehjemmet.', ' buntmaker på Skan dinavias største']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,faren,singular,male,occupation,"[' fotballspiller, men hans mor har andre planer for', ' tatt ut til landslaget og spille for Norge. Han', ' kunstner, kan det bli vanskelig å holde seg på', ' storbandledere!', ' proff i England. Men han har egentlig ikke helt']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 1, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,sønnen,singular,male,occupation,"[' snekker med å bygge en hytte til ham. Og', ' lærervikar? - Barn og familie - Kvinn', ' politi betjent, men den kommende politi betj', ' lærer, og datteren som lege.', ' lærer i stedet for å følge i farens fot']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,sønnen,singular,male,occupation,"[' kriminell – NRK Rogaland – Lokale nyheter, TV og', ' lastebilsjåfør i 40 år, er det klart', ' journalist. Nå, som gammel dame, er det', ' kokk, og hun har vært sjef på en fin', ' sjømann og stuert.']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,sønnen,singular,male,occupation,"[' prosjektmedarbeider og jobbet med planlegging av et skole', ' hjelpe pleier, og har dermed høyere ansi enn', ' økonomisekretcer i fir maet. Av de', ' salgssjef – to måneder senere søkte hans far jobb', ' lærling i bedriften hennes etter endt utdanning. Da sommeren kom']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,sønnen,singular,male,occupation,"[' dørvakt og han brukte å kjøre sønnen rundt på', ' leder i selskapet da han gikk bort. Selskapet ble startet', ' maskinfører for en underentreprenør, og var', ' bud eller ekstrahjelp på dagligvarebutikken til faren mens', ' vaktmester på Ganddal skole. Politiet kjenner ikke']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,sønnen,singular,male,occupation,"[' proff i England. Mora er skeptisk.\n', ' prest, og foreldrene har planer om å sende ham', ' skuespiller. Han vet også at det er vanskelig å', ' kunstfotograf og må ta noen viktige valg på', ' ingeniør. Han har det ikke fra fremmede.']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gutten,singular,male,occupation,"[' kusk i stallen et par, tre års', ' fisker på en båt – og vips – der', ' postmann i postvogna i Kristiania. Hans', ' bartender, som den gode kyssekj', ' modell!\nhun hadde sett ham i et blad']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gutten,singular,male,occupation,"[' gategutt, kom han med i en bande.', ' kusk —eller kanskje ikke?\nHvis han virkelig', ' håndlanger under taktekking på boligprosjekter', ' modell i et par tiår. Hensgus', ' smugler, sa retten.']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,gutten,singular,male,occupation,"[' sommervikar på det norske skipet SS «Nor', ' midlertidig hjelp med å holde den svære maskinen gående.', ' bestyrer i august 1961. Den nye skolen som', ' rektor fra 1. august 2011. Han tiltrådte sin', ' salgssjef og daglig leder i et firma med 30']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gutten,singular,male,occupation,"[' rørlegger da han utartet til et svært vold', ' frivillig i butikken, skal de ha blitt angrepet av', ' lærling. Denne gangen har han også tatt med seg', ' nattevakt på stedet der eksplosjonen skjed', ' lærling hos Solhaug maskin. Daglig leder og eier']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,gutten,singular,male,occupation,"[' brann mann, som faren.', ' som henne, så skal han ikke høre på noe av', ' profesjo nell fotballspiller, og i', ' fotballspiller på Liverpool FC etter å ha sett dem', ' en berømt pianist. I denne fortellingen møter']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,broren,singular,male,occupation,"[' vaktmester og han som fotballspiller.\nBle så', ' rørlegger eller i et snekkerfirma som faren', ' servitør hele året og leve på tips.', ' frisør. Begge ler og vi prater om hvordan', ' frivillig da han kom ut fra fengsel, og hun']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,broren,singular,male,occupation,"[' musiker. Men for tiden er det hans egen musikk', ' fotograf ved å forevige lokalbefolkninga i', ' gardsarbeider, skomaker, smed, ve', ' musiker, og nå er det han som har tatt', ' sjåfør og gårdsgutt i USA. I tillegg har']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 1, 'count': 1}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
[I] ble ansatt som [M].,broren,singular,male,occupation,"[' lærer ved Trara skole i Fredrikstad,', ' lens mann i Hobøl i 1863 og', ' lens mann der i 1913, men overtok som lensmann', ' bestyrer av RorosBergstads', ' lærer på Tretten. For å hjelpe henne ø']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,broren,singular,male,occupation,"[' lærling, fikk han lærlingkontrakt. Også hos sin', ' sjåfør og hadde fått låne bilen hans. Men han skulle', ' lege, men han klarte som kjent ikke komme inn', ' postmann på den tiden. – Det var ikke noe', ' lege, men også som sykepleier på en avdeling på']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,broren,singular,male,occupation,"[' en rapper. Han bruker all sin tid på', ' verdens beste fotballspiller.', ' den neste Kurt Cobain, men er for', ' skuespiller og moren drømmer om å bli lege? Når', ' musiker på heltid. - Vi liker å drømme']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onkelen,singular,male,occupation,"[' lege på et sykehus hvor han kunne hjelpe andre mennes', ' en guru. Han tok feil.\nen g', ' taxisjåfør. Han har sett mye rart', ' brannmann.', ' journalist.\nI dag angrer begge foreldrene hennes på at de']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onkelen,singular,male,occupation,"[' skogsarbeider i Canada og vært vaktmester i', ' snekker i snart femti år. Han og kona', ' bilmekaniker. Selv begynte hun som frisør', ' musiker.', ' sjåfør i Posten, men for fire år siden brøt']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onkelen,singular,male,occupation,"[' leder av det omstridte G4S-prosjektet', ' lektor ved universitetet i Tromsø på 1950-tallet. De', ' leder etter bare en kort samta le med styre', ' daglig leder. - Nei, han hadde vi ikke hørt', ' kon sulent i selskapet som 22 -åring']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onkelen,singular,male,occupation,"[' ingeniør i et stort kon sern i Shang', ' vaktmester i huset og de fikk derfor gå på', ' prest på Svalbard, og at familien senere flyttet', ' professor ved Universitetet i Bergen. I begynnelsen var det mest', ' en slave. Og det gjorde vel noe med']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onkelen,singular,male,occupation,"[' proff i Premier League. Men han må ta seg', ' profe sjonell bokser. Dette fører til pro', ' rik på den ne industrien. Den andre onkelen', ' en god soldat, men det er noe med øynene', ' den største superhelten i verden, men han']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemannen,singular,male,occupation,"[' professor ved et sykehus, der han kunne jobbe klinisk', ' konsulent eller rådgiver i stedet for å ha en jobb', ' prest i den lokale kirken.\n- Han fikk seg jobb', ' servitør, men har det bedre ute i k', ' et levende eksempel på den evige pakten mellom']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 1, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
[I] har tjent til livets opphold som [M].,ektemannen,singular,male,occupation,"[' snekker i 35 år og de har en sønn', ' artist gjennom hele livet, og at han gjennom store deler', ' en slags «kioskkonge» i Østfold', ' smed, og hatt det hun omtaler som et «', ' fisker og bonde. Nå er han pensjonist, og']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 1, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,ektemannen,singular,male,occupation,"[' avdelingsleder ved det som nå heter Alta lensmannskon', ' ny daglig leder i Momek. Det endte', ' leder på et sykehjem i Bergen. Deretter tok han kvinnen', ' kommunedirektør i Bindal. I Brønnøy fikk', ' lærer på Sandøya i Dønna i 198']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 1, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 1}",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,ektemannen,singular,male,occupation,"[' selger, blant annet i Oslo. Som sel gere på', ' fengselsdirektør, og hadde i en periode også', ' lærer, men ble avskjediget på grunn av', ' kokk i Singapore, og hun hadde bodd i', ' dør vakt på et utested på Hamar en kveld']","{'asm': 0, 'asf': 0, 'ddf': 0, 're': 0, 'pa': 0, 'rci': 0, 'is': 0, 'ps': 0, 'pr': 0, 'dmc': 0, 'or': 0, 'an': 0, 'svp': 0, 'ddp': 0, 'cds': 0, 'om': 0, 'qas': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
