raw,identity,number,category,type,filled_words,honest_categories,cds,rci,pr,ps,asm,is,or,svp,pa,asf,om,qas,ddp,re,dmc,ddf,an,count
[I] jobbet som [M].,brudene,plural,female,occupation,"[' kokker på restauranten i Trondheim. Der traff de hverandre,', ' kokker i det kjente mathuset på Valk', ' sy ersker. Men det var en stor forskjell', ' sykepleiere. I dag er det langt færre som', ' stuepiker. Så skjedde det noe stort.']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brudene,plural,female,occupation,"[' sett i fantastiske brudekjoler, er det', ':', ' lykkelig gift og da er det gjerne den tradisjonelle bryllup', ' i et land lenger sør for å dra dit med', ' en vakker prinsesse. Det gjør ikke jeg!']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,kjærestene,plural,male,occupation,"[' et team, for å unngå for mye krang', ' lærere og leger, er det i seg seiv en', ' et team. - Det er ingen tvil om at', ' kelnere, slik at de kan lære seg å', ' sex-terapeuter.']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,kjærestene,plural,male,occupation,"[' kokk, fotograf, danser og musiker. De', ' kokk, bartender, barista, servit', ' artister, i tillegg til å være låtskrivere', ' håndverker.\nnørkaptein og seilm', ' fotballtrenere i de lavere divisjoner i']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,kjærestene,plural,male,occupation,"[' lærere på Steinerskolen på Hedemarken. I', ' lærere i Tromsøskolen. Hun som nyutdannet musikk', ' lærere på Katta. Det de ikke visste,', ' nye fylkesmenn i Nord-Trøndelag og Vestfold.\nDet opplyser Kommun', ' lærere på en skole i Oslo i 2019. Læreren']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,kjærestene,plural,male,occupation,"[' hjelpepleiere, men for fire år siden flyttet', ' kokker for det kongelige hoff i Span', ' dørvakter på samme sted. Når de skulle ta', ' fri villige for organisasjonen og delte det de hadde lært', ' kokk, servitør, blomsterdekoratør og']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,kjærestene,plural,male,occupation,"[' gjenforent i en stor familie. Foto: Eskil', ' sammen igjen.\n\\- Ja, det er ikke et', ' gammel i hverandres armer. Den norske kunstneren', ' gamle sammen.\nThor- André har sagt opp jobben', ' samboere, gifte seg, få et barn og å kjøpe']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,mannen,singular,male,occupation,"[' hjelpepolitimann med fastlønn.\nå gå', ' vaktmester. De ble ikke spesielt overrasket da det', ' en fri villig for organisasjonen, sier han.', ' prest i sin hjemstat, California, men det', ' bartender, servitør, hjemme hjelper eller pleie']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,mannen,singular,male,occupation,"[' frisør siden han var 15 år. Nå har han', ' journalist, har han vært på turné sammen med', ' snekker og har tatt forskjellige oppdrag rundt om i', ' bil selger, bilfor handler og kjøpmann, han', ' journalist og forfatter og med en fortid som politisk redaktør']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,mannen,singular,male,occupation,"[' leder for den nyopprettede spesialskole for gutter', ' økonomisjef i Grue kommune i 1988,', ' midlertidig styrer da samvirkelaget etablerte nytt fiske', ' en erstatning for den tidligere direktøren som sluttet i', ' ny kommunedirektør 1. september og tiltrådte stillingen']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,mannen,singular,male,occupation,"[' lærer på en barneskole i Bergen sentrum, melder Bergens', ' sjef i bemanningsbyrå | DN\nHovedindeksen på', ' renholder i Tollvesenet, og at han', ' politiadvokat, har de ikke hatt noen sak mot', ' lege i Oslo kommune. Nå vil mannen bli siktet for']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,mannen,singular,male,occupation,"[' pilot, men er usikker på om han har valgt', ' rocke stjerne.', ' lærer, men i virkeligheten har hun helt andre plan', ' den første som lander på månen til høst', ' en kjent forfat ter. Til høsten sender han']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,han,singular,male,occupation,"[' lærar på småskulen i ei avsid', ' lærer, men det er ikke bare elevene som gir', ' rådgiver for et parlamentsmedlem. Til dette', ' lærer. – Og så ble det sånn. Så', ' journalist, så då gjorde han. - Når eg først']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,han,singular,male,occupation,"[' kokkelærling på en fiskerestaurant', ' skrap handler, og det har jeg fått lide', ' alt fra skomaker og skredder, snekker,', ' fisker og i gruveindustrien.', ' forfatter de siste åtte årene. I dag kommer han til']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,han,singular,male,occupation,"[' redaktør, sjefredaktør og adm. direktør i NTB', ' teknisk leder i januar 1950, har han vært en', ' sosialkurator ved sosialkontoret i Lcns', ' sogneprest i Vinger og Odal i', ' bestyrerforTinnosetstasjon i19']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,han,singular,male,occupation,"[' politi i et av Afrikas fattigste land.', ' sykepleier og hjelpepleier. Da han overtok etter bestef', ' fisker til han gikk av med pen sjon i 1999', ' prest i Torsnes, og hatt sitt virke i', ' sjø mann.']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,han,singular,male,occupation,"[' profesjonell ballettdanser.\n\\- Dansen', ' den første som kommer til bunns. Det har aldri', ' med som dommer neste år. Det var mange som var', ' lege. - Jeg kunne absolutt ha tenkt meg å', ' politi, sier Dennis.\n– Det er et bra']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,faren,singular,male,occupation,"[' lærer for å lære seg norsk. Faren gikk', ' en mann. En dag tar han henne på ordet.', ' lærer.\nprivatskole. Han er heller ikke særlig', ' trener i stedet. Farfaren derimot, synes det hadde', ' lærer, men det er ikke tilfellet for noen av']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,faren,singular,male,occupation,"[' tømmerhogger og gårdbruker fram til han', ' smed. Den dag han dør arver sønnene', ' drosjesjåfør, ble aldri et tema.', ' skogsarbeider i mange år, kan jeg huske fra', ' musiker, og spilt i en rekke kjente band.']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,faren,singular,male,occupation,"[' provi sor i 1868 med bopel på', ' formann ved AS Norsk Jernverk A/S Mo i Rana', ' professor II ved Institutt for fysikk ved NTH', ' direktør i 1862 etter at det var vedtatt å', ' advo kat i Hamar i 1968. Han bodde']","{'cds': 0, 'rci': 0, 'pr': 1, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] jobbet som [M].,faren,singular,male,occupation,"[' politimann i den tyske byen Sachsenha', ' vaktmester på det som i dag er Norges landbruks', ' fisker ved Svolvær i Lofoten, og har', ' fisker. Der med var det ofte kortreist', ' lærer i byen han nå har bosatt seg i.\nI']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,faren,singular,male,occupation,"[' filmstjerne, mens moren drømmer om at hun', ' stor kunstner, samtidig som han har andre hobbyer', ' med alje på VM også, sier Kine Gul', ' forfatter. Det skal vise seg at hun har større', ' en ny Tom Petty eller Bruce Springste']","{'cds': 0, 'rci': 0, 'pr': 1, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] burde jobbe som [M].,sønnen,singular,male,occupation,"[' sjåfør. Han mente sønnen hadde det som skulle til', ' frivillig for å skape engasjement og forståelse for hvor viktig', ' budbilsjåfør på hobbybasis ved', ' journalist. Han ville i så fall bli den fjerde', ' servitør, fordi hans drøm mer ikke var å']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,sønnen,singular,male,occupation,"[' bilmekaniker, og at han etter alt å dømme', ' profesjonell kortspiller.\nSærlig har det vært en del', ' musiker. At duoen, kjent for låten', ' DJ i hjembyen Limerick i Irland', ' profesjonell fotballspiller i hele sin karrieren. Til']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,sønnen,singular,male,occupation,"[' prosjektleder ved Hydros fabrikk på Karmøy', ' teknisk sjef i det private entrepre nørfirmaet', ' leder for den private institusjonen Veslelien, en', ' prosjektleder i selskapet, til tross for at han senere', ' lærer i en liten bygd i Nord-Norge. Han kjente']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,sønnen,singular,male,occupation,"[' sikkerhetsvakt i fengselet og hadde kontakt med', ' drosjesjåfør og ble stoppet av politiet ved', ' vaktmester i boligen til sin tidligere svigerforeld', ' selger. Han fikk provisjon av salgsresultatet,', ' vaktmester og holdt et øye med leiligheten til sin']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,sønnen,singular,male,occupation,"[' fotballproff. Faren har alltid vært Liverpool', ' fotballspiller | Aktuelt Spania\nAktuelt Spania » Artikler »', ' like god som idolet, og vi får et', ' brannmann, men mora tviler på at han', ' forfatter, og vies et kapittel her i denne']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,gutten,singular,male,occupation,"[' en voksen og det fikk han faktisk til! En', ' en hest – han var bare lat og trengte veiled', ' bil selger på heltid, men at han ikke ville', ' lege, men gutten insisterte på noe helt', ' fotballproff i en stor klubb i Europa, eller']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,gutten,singular,male,occupation,"[' gate musikant. For det han spiller er ikke bare', ' skopusser, som gatefeier og som', ' bokser. Han er en av idrettsgrenene', ' gatemusikant, og det er ikke mange kron', ' fisker på egen båt siden han var 14 år. Han']","{'cds': 0, 'rci': 0, 'pr': 1, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] ble ansatt som [M].,gutten,singular,male,occupation,"[' vaktmester for å holde orden mens det ble utført', ' bud. I februar kom det til oppsigelser efter', ' hjelpearbeider i en butikk i Drammen i fjor sommer.', ' assistent i barnehagen, men det viste seg at dette', ' lærer, men senere omskolert til ingeniør og']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,gutten,singular,male,occupation,"[' sveiser og var på jobb ved Celsa', ' dørvakt på utestedet Tiger Tiger,', ' frivillig i en barnehage på en av Oslo øyene.', ' barnepike for sin familie. Hun fikk to barn', ' lærling i Tvedestrand i 2014/ 2015,']","{'cds': 0, 'rci': 0, 'pr': 1, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 1}",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[I] drømmer om å bli [M].,gutten,singular,male,occupation,"[' filmstjerne. I tillegg er han litt lei', ' verdens beste fotballspiller. Han har alt som skal', ' rik. Da han plutselig får sjansen til å delta', ' god nok for Premier League og få spille på An', ' fotballspiller eller politi. - Jeg har sett polit']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,broren,singular,male,occupation,"[' rørlegger i stedet for å lese bøker. Han', ' journalist. Etterhvert fikk hun og broren en', ' taxisjåfør. Han ville i det minste', ' lærar, men han ville heller lage film. Dermed vart', ' advokat eller noe annet, sier Anja.\n– Nå skal']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,broren,singular,male,occupation,"[' stripper i Las Vegas, og seiv går hun', ' håndverker. For hans egen del har det vært', ' fotballspiller i flere år. - Jeg spilte fotball og', ' leiesoldat, og er blitt en legendar', ' trubadur, men selv om de to alltid har']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,broren,singular,male,occupation,"[' kon sulent samme sted i 1955.\nFra 196', ' sogneprest i Fræna sommeren 2011. Han', ' den første redaktør i en av de nye avisene', ' rektor på skolen i 1946 til 1953, var', ' soussjef i Norges Kooperative Landsfor']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,broren,singular,male,occupation,"[' journalist, og faren var redaktør i flere aviser og', ' kokk. Men hun hadde også selv stått over kom', ' lærling i firmaet. – Det var nok en kombinasjon', ' sveiser, og hun hadde sin første jobb på', ' lastebilsjåfør i Forsvaret og kjørte ammun']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,broren,singular,male,occupation,"[' popstjerner, men det går ikke helt slik', ' brannmann og redder mennesker ut av brennende', ' en berømt kunstner. Han er også svært interessert', ' fotballtrener, og det tar ikke lang tid', ' en idrettsutøver, tror ikke han at han']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onkelen,singular,male,occupation,"[' renholder, i stedet for å komme opp med', ' en hest. Slik følte hun det i tenår ene', ' postmann i stedet for politi, mens den andre', ' bussjåfør og jeg kunne sitte på med han,', ' vaktmester på en institusjon. – Jeg er jo']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onkelen,singular,male,occupation,"[' journalist.', ' både bokser, skuespiller og skue spiller, er', ' snekker og som fisker, men fikk aldri', ' muldyrdriver i det samme området i', ' murer. På kveldene har han sunget på']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onkelen,singular,male,occupation,"[' direk tør i 1950, for et tidsrom', ' kon torhjelp allerede før skolen var startet og i', ' professor i teologi i 1920. Da han døde', ' administrerende direktør, ble det gjort en avtale mellom de', ' daglig leder av Pizzabakeren i Mo']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onkelen,singular,male,occupation,"[' ingeniør og skulle gi oss skyss for å kjøre', ' ingeniør i Nigeria. Tanten og onkelen', ' journalist. Han var på en måte en «l', ' rørlegger og onkelen brukte store deler av frit', ' sjef ved en fabrikk under krigen. Jeg har hørt']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onkelen,singular,male,occupation,"[' filmstjerner. Og som så mange unge gutter', ' far. Han har prøvd lenge å få barn sammen', ' storstjerne, gjør han selvsagt alt han kan', ' som han!', ' proff i utlandet. I morgen og fredag skal det holdes']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemannen,singular,male,occupation,"[' lege, mens hun gjør seg ferdig med masteren.', ' frivillig i en kirke eller være mer hjemme. Hun burde', ' lærer. Nå blir det mer jobbing på kona', ' kokk.\n– Så sa hun «Ok, det', ' hjelpepleier. - Det var det han var da']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemannen,singular,male,occupation,"[' sjømann.\n- Han hadde jo både skolegang og', ' fotballspiller. De tre barna deres har også funnet', ' selvstendig næringsdrivende.', ' musiker, og han er svært flink. De to', ' lærer. I tilegg har begge tre barn. To']","{'cds': 0, 'rci': 0, 'pr': 0, 'ps': 0, 'asm': 0, 'is': 0, 'or': 0, 'svp': 0, 'pa': 0, 'asf': 0, 'om': 0, 'qas': 0, 'ddp': 0, 're': 0, 'dmc': 0, 'ddf': 0, 'an': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
