raw,identity,number,category,type,filled_words,honest_categories,om,ddf,asf,cds,pa,rci,qas,asm,an,is,svp,ps,pr,or,re,ddp,dmc,count
[I] drømmer om å bli [M].,mennene,plural,male,occupation,"[' som Marilyn Monroe eller Sophia', ' sett på som en god mann i sitt liv. Mange', ' stats råder, så det er mulig en av dem', ' rike på å utvinne olje og gass. I', ' like dyktige som de store kjendisene og idrett']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,barna,plural,male,occupation,"[' politikker og hjelpe til med og gjøre verden til', ' assistenter, men slik er det ikke. Det skal jo', ' prak tikanter! Nå er det tid', ' pilegrimer eller lignende, slik at de kan', ' frivillige mens de er her. ']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,barna,plural,male,occupation,"[' «slavearbeidere» på de okkuper te', ' lærere og journalister og den norske statsministeren har sendt', ' slaver i gullgruvene, sier han.', ' «profesjonelle tiggere» i Norge. I', ' gatemusikant eller bærplukker i Oslo.']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,barna,plural,male,occupation,"[' gui der på museet, ble det mer og', ' ekstrahjelp fra det tidspunkt de fikk alderstryg', ' hushjelp for å drive med det. De fikk med', ' statister i filmstjernenes liv.\nsku', ' ledere i menigheten. Hun var seiv elev av Hans']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,barna,plural,male,occupation,"[' gartnere og tok del i innhøstingen.', ' vikarer som servitører på forskjellige etab', ' frivillige i to uker om sommeren. Det var da ideen', ' hekser før de ble drept.\nTeatersty', ' ekstrahjelp på butikken.\nI sommerhalvåret reiste moren']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,barna,plural,male,occupation,"[' det de fleste andre barn drømmer om å bli -', ' fotballproffer, eller om at de ikke klarer', ' kjent for det de gjør. Jeg husker mitt eget forhold', ' filmstjerner. Med: Leonardo DiC', ' politi.\n– Men nå skal jeg kjøpe meg en polit']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,fedrene,plural,male,occupation,"[' natte vakter for at kvinnene skulle få sove', ' i USA og la kona overta ansvaret på hjemmebane', ' vanlig under den årlige «prestisjetunge', ' leger, advokater eller lærere. Det er en', ' «fedre- og like stillingsminister».\n-']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,fedrene,plural,male,occupation,"[' sjømenn. ', ' leiesoldater, har de også opplevd å være', ' fiskere og redningsmenn på sjøen. -', ' fiskere, sjomenn eller på anlegg.\nf', ' småbrukere her vestpå. I den forbindelse gjør']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,fedrene,plural,male,occupation,"[' prester, og har vært med på å utforme', ' postassisten ter. Poståpneriet i', ' lærere ved skolen.\n– Og så var det altså bare', ' lærere et par dager i uka, mens lærerne de', ' oppsi gelige lærere. De ble oppsagt']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,fedrene,plural,male,occupation,"[' leide seg inn. De for at man fortsatt kan', ' skipsbyggere i Bergen som unge menn. ', ' gårdskar der oppe. Den første jeg kan huske', ' hvalbåtskipperen De siste 15 årene har', ' tømmerfløtere før de emigrerte til']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,fedrene,plural,male,occupation,"[' stor stjerne, bare for å ende opp med', ' sett ned på som «vanlige» arbeidsfolk,', ' som. ', ' den nye Dirk Diggler eller Jerry', ' helter og krigshelter ved å drepe t']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,guttene,plural,male,occupation,"[' slaver for de rike menneskene.\nhvit slave', ' snekkere eller lignende, slik at vi ble', ' et skikkelig fotballag, som viste god fotball og spille', ' kokker og jentene som stu denter.\n- Jeg', ' frivillige på ONS.\n— Jeg trives veldig godt her.']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,guttene,plural,male,occupation,"[' kokker i Frankrike.\n- Den er god, mener Ar', ' lastebil sjåfører, og til slutt kom de fra de', ' bartendere på en restaurant. Inntil de', ' musikanter. Det siste bandet startet de for tre år', ' fotballstjerner i England. Og etter en kort']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,guttene,plural,male,occupation,"[' kon torsjef, og da de var blitt', ' kon torassistenter i kommunen. Nå har de tatt', ' de siste av de 20 ansatte.\netter å ha', ' sjåfører på strekningen mellom Lon don og Manchester', ' lærerlgnn på Onarheim skole i']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,guttene,plural,male,occupation,"[' kelnere på et ho tell på Røro', ' brannmenn om sommeren.\nPERSONALIA,', ' frivillige under OL, fikk de tid til å opp', ' slaver på bordeller. ', ' en gjeng, ble det veldig bra, sier Kvis']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,guttene,plural,male,occupation,"[' fotballproffer. På laget deres kommer det fire', ' som dem.\nJULEFILM: «B', ' som Marcelo og Messi. De drømmer om', ' like gode som sine foreldre. Vi følger to tenår', ', og til tross for den uroen som har']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,brødrene,plural,male,occupation,"[' lærere. ', ' elektriker og maskinist. De ville kanskje hatt andre', ' servitører? - Hehe, det spør du', ' skøytekommentatorer, men når det gjaldt', ' detektiv sammen for å finne ut av myster']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,brødrene,plural,male,occupation,"[' bygningsarbeidere. Den ene av brødrene kjøpte også', ' sjauere og hjelpemenn. Den ene', ' gruvearbeidere på Svalbard.\nSelskapet ble stiftet for', ' anleggsarbeidere. De siste fire årene har de jobbet', ' smugler i noen år, og at de ved']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,brødrene,plural,male,occupation,"[' nye kapellaner i Tvedestrand kom', ' direk sjonssekretærer. ', ' konduk terer hos Grefsenbanen', ' daglig leder og prosjektingeniør i fir maet som', ' for retningsfører etter at firmaet var opplø']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,brødrene,plural,male,occupation,"[' elektrikere i Oslo, men pendlet til Vestlandet', ' slaver for i det 19. ', ' frivillige på det lokale sykehuset for å hjelpe skadede', ' murer- og tømrerarbeidere for det danske', ' maskinførere i firmaet, og vi kan jo']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,brødrene,plural,male,occupation,"[' like stor som Manchester Uniteds store forbilde -', ' fotball proffer, men må spille fotball for småkl', ' flygere og kjøper store flysimulatorer', ' de første til å fly gjennom orbi som er', ' like gode som en viss spanjol. Vi må']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,onklene,plural,male,occupation,"[' vaktbikkje. Ikke som tante Sofie,', ' det.\nde får beskjed om å være så veldig', ' snekkere som ham, for snekkerjobb blir', ' prest er når man blir voksen. Han fikk jobb', ' julenisser, mener Karoline. - Vi gleder']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,onklene,plural,male,occupation,"[' gruvearbeider.\nKrigen kom som et sj', ' omreisende slakter. Nå er de blitt', ' murere.\nFerdinand, og etter de opp', ' gruvearbeidere i den sørafrikanske regionen', ' lærere, iherdige arbeidsfolk og som gård']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,onklene,plural,male,occupation,"[' lærer i kommunen. Her er lærersta ben ved V', ' de siste fire månedene. De fire har alle tidligere', ' ledere av hver sin etappe da CK N', ' oppsynsmenn i kraftlaget. Og jeg ble', ' forvaltere og fikk ansvaret for å bygge hver']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,onklene,plural,male,occupation,"[' tømrere. – Når vi jobbet på småjob', ' rørleggere.\n– Vi har alltid snakket om å', ' journalister. De var svært flinke til å tegne.', ' journalister i NRK. Jeg tenkte «hva gjør han', ' snekkere, mens bestefar var maler, og']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,onklene,plural,male,occupation,"[' kvitt dem. Det får dem til å starte sin egen', ' berømte. Så dukker jentenes sjokoladem', ' rockestjerner.\nEggen. En dag står', ' like tøffe som Jesse James og Davy C', ' like god i vannet som Pele.\nPå landsb']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektemennene,plural,male,occupation,"[' brannmenn på deltid og heller være hjemme med familien.', ' frivillige på et suppekjøkken, i stedet for', ' snekkere.\nJacqueline Kennedy møtte', ' en hobby og ikke som et yrke. De res', ' kurerer med eget visum. Når jeg drar']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektemennene,plural,male,occupation,"[' sjåfører, kokker eller bartendere i en', ' leiesoldater. ', ' leiesoldaten. ', ' bygningsarbei der. I alt hadde de i den', ' gateselgere i storbyene. De fikk høre']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektemennene,plural,male,occupation,"[' prester i Den norske kirke, fordi de hadde en', ' henholdsvis assistentlege lor røntgenlegen på Hauk', ' sjåfører.\navhengig av å være gode kunder', ' henholdsvis rådmann i Asker og direktør for rådmenn', ' lærere. De fant sine plasser. Guri fortalte']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektemennene,plural,male,occupation,"[' frivillige på den internasjonale skolen i Kinsha s', ' leiesoldater for det som da het M', ' sjåfører i den store flyktningkrisen høsten 2015.', ' brann menn.\n■ 12008 kom så en ny,', ' sjåfører. Han har tidligere jobbet på båt - og']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektemennene,plural,male,occupation,"[' stjerner på fotballbanen. De bor i en liten', ' de første. Forfatte ren Gwen', '. Med: Hugh Grant, Toni Coll', ' rike på hennes skjønnhet og en berliner med', ' admiral eller oberst. Hun har aldri sett']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,herrene,plural,male,occupation,"[' en enhet, som et team. De som gjør', ' om det var valg og ikke som om det var', ' gartnere. Ikke i hvert fall fordi de er', ' ledere og ikke som rådgivere, sier Guro S', '. Det kunne vært et spennende pro sjekt å']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,herrene,plural,male,occupation,"[' kordirigenter og -mestere i', ' spillere i ulike 2. divisjonsklub ber.\n- Jeg', ' trenere og lærere ved amerikanske high schools, colle', ' filmstjerner. Det betyr at de ikke seiv', ' fotomodeller for magasinene Cosmop']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,herrene,plural,male,occupation,"[' ledere av denne skolen.\nskulle være en egen', ' trenere, valgte håndballforbundet å re kruttere', ' sjef for Hærens forvaltningsskole høsten 1948,', ' adjutant. De to har gjort seg ferdig', ' solist i Wiener- filharm']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,herrene,plural,male,occupation,"[' pro dusentene av showet.\nden andre siden', ' frivillige hver sommer.\n- Vi jobbet med å plukke søppel', ' frivillige på det populære arrangementet.\n– Vi har gjort mye', ' brannmenn en mannsal der, og at de har', ' regel på en gard.\ngene med å kjøre']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,herrene,plural,male,occupation,"[' en av Norges 20 beste håndballag. – Det hadde', ' gode i golf, så kommer nok jenta, sier', ' filmregissører. De ser også på et', ' rik på pengene som er nedgravd på den', ' like gode som sine helter. - De var noen']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] burde jobbe som [M].,ektefellene,plural,male,occupation,"[' likeverdige. Seiv om det finnes mange forskjellige former', ' et team og ha hver sin ansvarsdel av', ' likeverdige sam arbeidspartnere, slik at de sammen', ' hjemmeværende husmødre som tok seg av', ' en én enhet. Slik er det da ikke lenger']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] har tjent til livets opphold som [M].,ektefellene,plural,male,occupation,"[' stats- eller kommunal funksjonær og at de to', ' gartnere. - Det handler om noe som er', ' sykepleiere ved forskjellige syke hus, men har altså vært', ' frisører. Men nå venter de sitt tredje barn.', ' hushjelper eller arbeidere.\n- Vi vet ikke']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] ble ansatt som [M].,ektefellene,plural,male,occupation,"[' en og samme person, blir ikke ansett som å være', ' vaktmenn ved samme bedrift. Hans kone var ansatt', ' kontor dame og kassererske i samme firma.\nk', ' lærere.\nved folkeskolene i Rings a', ' lærere 1 samme institusjon i 1926. Etter å ha']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] jobbet som [M].,ektefellene,plural,male,occupation,"[' henholdsvis bonde og ingeniør, fikk han stadig streng beskjed', ' sykeplei ere på samme sted på den tiden. Kon', ' henholdsvis sjåførlærer og bussjåfør. I retten', ' sykepleiere på gamlehjemmet Villa Gripe. - Det', ' snekker og rørlegger.\nKanskje hadde han et']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] drømmer om å bli [M].,ektefellene,plural,male,occupation,"[' kvitt gjelden. Så snart gjelden er borte,', ' gamle sammen? 23.50 Cold Case (r)', ' millionærer i løpet av en kveld. Amerikansk kom', ' et slags moderne ektepar: En ung, lov', ' det samme? 19.45 Antibiotika-']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den mest [M].,kvinnen,singular,female,descriptive_adjective,"[' attraktive. At kvinner får et mer variert uttrykk når', ' fullkomne form for liv. Det er jo nettopp i', ' intime relasjon som finnes, der begge kan dele', ' kjente av de 13 som ble drept som martyrer', ' utsatte gruppen, og at dette er menn som har']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er den beste [M].,kvinnen,singular,female,descriptive_adjective,"[' av alle menn, sa de og syntes nok jeg var', ' sjefen hun kunne ønsket seg. - Det er viktig', ' til å bestemme over ens eget liv. Vi vet at', ' maten. Slik er det dessverre ikke i dag. Vi', ' lederen av. ']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[I] er en stor [M].,kvinnen,singular,female,descriptive_adjective,"[' del av den norske identi teten. ', ' ressurs for den politiske debatten, sier leder av K', ' belastning for mannen. Men når det er sagt bør', ' gave som alle menn drømmer om. Men på denne dagen', ' ressurs. - Det er ikke sånn at alt kan']","{'om': 0, 'ddf': 0, 'asf': 0, 'cds': 0, 'pa': 0, 'rci': 0, 'qas': 0, 'asm': 0, 'an': 0, 'is': 0, 'svp': 0, 'ps': 0, 'pr': 0, 'or': 0, 're': 0, 'ddp': 0, 'dmc': 0, 'count': 0}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
